	11467000	1980-01-01	12200	A
	11467000	1980-01-02	7980	A
	11467000	1980-01-03	5970	A
	11467000	1980-01-04	4470	A
	11467000	1980-01-05	3570	A
	11467000	1980-01-06	3070	A
	11467000	1980-01-07	2720	A
	11467000	1980-01-08	2460	A
	11467000	1980-01-09	2330	A
	11467000	1980-01-10	2320	A
	11467000	1980-01-11	4160	A
	11467000	1980-01-12	36600	A
	11467000	1980-01-13	48800	A
	11467000	1980-01-14	55300	A
	11467000	1980-01-15	36400	A
	11467000	1980-01-16	27400	A
	11467000	1980-01-17	24000	A
	11467000	1980-01-18	16700	A
	11467000	1980-01-19	11600	A
	11467000	1980-01-20	8220	A
	11467000	1980-01-21	6680	A
	11467000	1980-01-22	5460	A
	11467000	1980-01-23	4450	A
	11467000	1980-01-24	3930	A
	11467000	1980-01-25	3530	A
	11467000	1980-01-26	3160	A
	11467000	1980-01-27	2840	A
	11467000	1980-01-28	2580	A
	11467000	1980-01-29	2390	A
	11467000	1980-01-30	2200	A
	11467000	1980-01-31	2020	A
	11467000	1980-02-01	1870	A
	11467000	1980-02-02	1800	A
	11467000	1980-02-03	1800	A
	11467000	1980-02-04	1730	A
	11467000	1980-02-05	1630	A
	11467000	1980-02-06	1550	A
	11467000	1980-02-07	1460	A
	11467000	1980-02-08	1390	A
	11467000	1980-02-09	1340	A
	11467000	1980-02-10	1290	A
	11467000	1980-02-11	1250	A
	11467000	1980-02-12	1410	A
	11467000	1980-02-13	1700	A
	11467000	1980-02-14	1490	A
	11467000	1980-02-15	1260	A
	11467000	1980-02-16	3550	A
	11467000	1980-02-17	23100	A
	11467000	1980-02-18	49600	A
	11467000	1980-02-19	51100	A
	11467000	1980-02-20	39100	A
	11467000	1980-02-21	35500	A
	11467000	1980-02-22	29100	A
	11467000	1980-02-23	21900	A
	11467000	1980-02-24	15600	A
	11467000	1980-02-25	13200	A
	11467000	1980-02-26	9510	A
	11467000	1980-02-27	8330	A
	11467000	1980-02-28	14700	A
	11467000	1980-02-29	11600	A
	11467000	1980-03-01	8550	A
	11467000	1980-03-02	7100	A
	11467000	1980-03-03	6430	A
	11467000	1980-03-04	6060	A
	11467000	1980-03-05	11100	A
	11467000	1980-03-06	11800	A
	11467000	1980-03-07	9440	A
	11467000	1980-03-08	7300	A
	11467000	1980-03-09	5500	A
	11467000	1980-03-10	4640	A
	11467000	1980-03-11	4060	A
	11467000	1980-03-12	3660	A
